long,lat,order,hole,piece,group,id,country,forest_chg
30.419104852,-1.13465911215,1,False,1,Rwanda.1,Rwanda,Rwanda,1370.0
26.6193367856,48.2207262233,1,False,1,Moldova.1,Moldova,Moldova,762.0
143.561811151,-13.7636556942,1,False,1,Australia.1,Australia,Australia,-70480.0
140.976387567,37.1420742864,1,False,1,Japan.1,Japan,Japan,466.0
28.591929559,69.0647769233,1,False,1,Finland.1,Finland,Finland,2680.0
43.0812260272,12.6996385767,1,False,1,Djibouti.1,Djibouti,Djibouti,0.0
14.4957873878,12.8593962671,1,False,1,Chad.1,Chad,Chad,-17434.0
-149.321526049,-17.6900310198,1,False,1,French Polynesia.1,French Polynesia,French Polynesia,1100.0
42.7793323098,16.3478913436,1,False,1,Saudi Arabia.1,Saudi Arabia,Saudi Arabia,0.0
43.5827458026,41.0921432562,1,False,1,Armenia.1,Armenia,Armenia,-934.0
1.86524051271,6.14215770103,1,False,1,Togo.1,Togo,Togo,-4178.0
11.9995056495,23.4716684026,1,False,1,Algeria.1,Algeria,Algeria,-1926.0
33.9736165708,35.0585063746,1,False,1,Cyprus.1,Cyprus,Cyprus,122.0
178.3736,-17.33992,1,False,1,Fiji.1,Fiji,Fiji,679.0
-61.715503913,12.0126520858,1,False,1,Grenada.1,Grenada,Grenada,0.0
144.741790806,13.2592943384,1,False,1,Guam.1,Guam,Guam,0.0
-4.41205074708,54.1853750678,1,False,1,Isle of Man.1,Isle of Man,Isle of Man,0.0
-12.1707502914,14.6168342147,1,False,1,Mali.1,Mali,Mali,-17400.0
-157.34214759,1.85554596599,1,False,1,Kiribati.1,Kiribati,Kiribati,0.0
61.2108170917,35.6500723333,1,False,1,Turkmenistan.1,Turkmenistan,Turkmenistan,0.0
3.58818444176,50.378992418,1,False,1,France.1,France,France,15130.0
-71.6614084541,21.7652350937,1,False,1,Turks and Caicos Islands.1,Turks and Caicos Islands,Turks and Caicos Islands,0.0
33.963392795,9.46428522942,1,False,1,Sudan.1,Sudan,Sudan,-213062.0
-82.9657830472,8.22502798099,1,False,1,Costa Rica.1,Costa Rica,Costa Rica,866.0
-62.6850571357,-22.2490292294,1,False,1,Paraguay.1,Paraguay,Paraguay,-39322.0
6.65998660648,0.120664781084,1,False,1,Sao Tome and Principe.1,Sao Tome and Principe,Sao Tome and Principe,0.0
9.5802217953,47.0573863796,1,False,1,Liechtenstein.1,Liechtenstein,Liechtenstein,4.0
18.8298380877,45.9088776719,1,False,1,Croatia.1,Croatia,Croatia,768.0
22.1831734555,65.7237405463,1,False,1,Sweden.1,Sweden,Sweden,9220.0
7.43869876469,43.7504564479,1,False,1,Monaco.1,Monaco,Monaco,0.0
73.4165836933,3.23122427003,1,False,1,Maldives.1,Maldives,Maldives,0.0
71.0141980325,40.2443655462,1,False,1,Tajikistan.1,Tajikistan,Tajikistan,20.0
-46.76379,82.62796,1,False,1,Greenland.1,Greenland,Greenland,0.0
-97.1400083077,25.8699974635,1,False,1,Mexico.1,Mexico,Mexico,-57994.0
-82.2681512113,23.1886107447,1,False,1,Cuba.1,Cuba,Cuba,8812.0
171.101938918,7.13822093346,1,False,1,Marshall Islands.1,Marshall Islands,Marshall Islands,-4.0
40.993,-0.85829,1,False,1,Kenya.1,Kenya,Kenya,-2630.0
50.8101082701,24.75474254,1,False,1,Qatar.1,Qatar,Qatar,0.0
55.5403104999,-4.69309823977,1,False,1,Seychelles.1,Seychelles,Seychelles,0.0
31.7859981626,52.1016779649,1,False,1,Ukraine.1,Ukraine,Ukraine,4830.0
-57.1474364895,5.97314992922,1,False,1,Suriname.1,Suriname,Suriname,-252.0
19.005486281,44.8602336696,1,False,1,Bosnia and Herzegovina.1,Bosnia and Herzegovina,Bosnia and Herzegovina,-250.0
25.6491634458,-18.5360258928,1,False,1,Botswana.1,Botswana,Botswana,-26038.0
-85.7125404528,11.0884449325,1,False,1,Nicaragua.1,Nicaragua,Nicaragua,-15400.0
179.199715724,-8.53673429357,1,False,1,Tuvalu.1,Tuvalu,Tuvalu,0.0
75.1580277851,37.1330309108,1,False,1,Pakistan.1,Pakistan,Pakistan,-9260.0
-57.6251334296,-30.2162948545,1,False,1,Brazil.1,Brazil,Brazil,-597058.0
-73.1897906155,19.9156839055,1,False,1,Haiti.1,Haiti,Haiti,-166.0
16.2022982113,46.8523859727,1,False,1,Hungary.1,Hungary,Hungary,2464.0
22.7310986671,54.327536933,1,False,1,Lithuania.1,Lithuania,Lithuania,2306.0
12.376485223,46.7675591091,1,False,1,Italy.1,Italy,Italy,17150.0
58.8611413918,21.1140345321,1,False,1,Oman.1,Oman,Oman,0.0
-170.726291877,-14.3512167294,1,False,1,American Samoa.1,American Samoa,American Samoa,-8.0
159.875027297,-8.33732024499,1,False,1,Solomon Islands.1,Solomon Islands,Solomon Islands,-1222.0
8.50028771326,4.77198293703,1,False,1,Nigeria.1,Nigeria,Nigeria,-90122.0
16.3265283546,-5.87747039147,1,False,1,Angola.1,Angola,Angola,-27456.0
-3.00500484864,58.6350001085,1,False,1,United Kingdom.1,United Kingdom,United Kingdom,2844.0
47.9745190773,29.9758192001,1,False,1,Kuwait.1,Kuwait,Kuwait,30.0
-6.19788489422,53.8675650092,1,False,1,Ireland.1,Ireland,Ireland,2916.0
-90.0955545723,13.7353376327,1,False,1,Guatemala.1,Guatemala,Guatemala,-12034.0
26.6041955909,41.5621145697,1,False,1,Greece.1,Greece,Greece,6644.0
-57.6251334296,-30.2162948545,1,False,1,Uruguay.1,Uruguay,Uruguay,9136.0
