Series Name,Series Code,Country Name,Country Code,2015 [2015],2016 [2016],2017 [2017]
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Middle East and North Africa Oil importers,MOM,3.934236461,4.33475307305,4.58574893258
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,MNA: GCC COUNTRIES,GCC,3.7853389511,3.52886367167,3.84528742984
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,MNA: MENA REGION:Geographic,GRM,3.23439885059,3.68688983107,3.98192875403
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,"Moldova, Rep.",MDA,-1.99388334527,1.48661636925,3.95263686589
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Mongolia,MNG,4.4,4.2,3.9
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Montenegro,MNE,3.37469381321,2.86829849286,2.9
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Morocco,MAR,4.6,4.8,5
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Mozambique,MOZ,7.2341093638,7.25203289032,7.2694741951
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Myanmar,MMR,8.5,8.2,8
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Namibia,NAM,5.51502607226,5.26357117037,5.09583835521
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Nepal,NPL,4.2,4.5,5.5
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Nicaragua,NIC,4.22585821736,4.32751234001,4.18273182343
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Niger,NER,4.46497532493,5.46947502037,7.70805900247
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Nigeria,NGA,4.46609995188,5.03050593012,5.51724014566
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Oman,OMN,3.7,3.6,3.5
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Pakistan,PAK,6,3.7,4.5
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Palau,PLW,5.8,5.8,0
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Panama,PAN,6.15722303198,6.39886496976,6.49934914027
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Papua New Guinea,PNG,16,5,2.4
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Paraguay,PRY,4.21800712883,4.13093069943,4.05761896264
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Peru,PER,3.88018978427,4.95595761616,4.97432963276
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Philippines,PHL,6.5394,6.51986,6.34096
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Poland,POL,3.57338503142,3.62568705064,3.63825671521
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Romania,ROM,2.95053550888,3.23424462687,3.49342375542
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Russian Federation,RUS,-2.7403566887,0.73821589396,2.50593670301
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Rwanda,RWA,6.961479008,6.98007960512,7.45347172412
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Samoa,WSM,2.207,-0.521,-0.093
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Sao Tome and Principe,STP,4.5,4.5,0
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,SAS less India,SAI,5.7,5.8,5.9
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Saudi Arabia,SAU,4.6,4.1,4.3
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Senegal,SEN,4.84031075913,4.98472682173,5.22801709032
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Serbia,SRB,-0.5,1.5,2
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Seychelles,SYC,3.47554694745,3.72555582812,3.72446409864
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Sierra Leone,SLE,-12.8,8.4,8.9
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Slovakia,SVK,2.4,2.7,3.2
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Slovenia,SVN,1.7,2.5,2
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Solomon Islands,SLB,3.52888,3.47268,3.46739
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Somalia,SOM,-1.48407568424,-1.48407568424,0
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,South Africa,ZAF,2.03712493435,2.05178374658,2.35303774832
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,South Asia,SAS,7.08659386823,7.33685793146,7.52035410275
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Sri Lanka,LKA,6.9,6.6,6.5
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,St. Lucia,LCA,-0.56472,0.84279,1.42808
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,St. Vincent and the Grenadines,VCT,2.60501,2.92812,3.37795
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Sub-Saharan Africa,SST,4.2,4.6,5
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Sub-Saharan Africa CFA,SFA,4.14494638795,5.54476618346,6.00176092323
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Sub-Saharan Africa excl ZAF,SSA,4.99551321815,5.38666268972,5.84688784646
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Sub-Sahran Africa Oil exporters,SOX,4.67215973796,5.00911098872,5.60919444712
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Sudan,SDN,2.6427071316,3.45307722395,3.87471225174
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Swaziland,SWZ,2.01079617714,1.76874313245,1.63183184072
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Tajikistan,TJK,3.2,4.4,5.2
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,"Tanzania, United Rep.",TZA,7.19809463013,7.08405741188,7.10271130404
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Thailand,THA,3.45556,3.97954,3.9964
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Togo,TGO,5.12549875183,4.89204699605,4.74577594792
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Tonga,TON,1.1591478446,1.1591478446,0
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Trinidad and Tobago,TTO,1.7993708895,1.97225905213,2.18813594742
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Tunisia,TUN,2.6,3.4,4.5
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Turkey,TUR,3,3.9,3.7
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Turkmenistan,TKM,8,9,9
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Tuvalu,TUV,1,1,0
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Uganda,UGA,5.54224559225,5.68856275694,5.76580838661
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Ukraine,UKR,-7.5,2.03191,3
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,United Kingdom,GBR,2.64231,2.60123,2.2011
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,United States,USA,2.70546,2.8456,2.40121
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Uruguay,URY,2.59389337331,3.09217260451,3.23108938617
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Uzbekistan,UZB,7.6,7.8,8
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Vanuatu,VUT,3.19803,3.21301,3.21301
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,"Venezuela, RB",VEN,-5.14209739724,-0.9970969078,1.05945177397
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Vietnam,VNM,5.95955075323,6.16792150345,6.49899807882
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,West Bank and Gaza,WBG,0.9,4.3,4.1
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,World (WBG members),WLT,2.76991121924,3.26561001844,3.23174314364
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,"Yemen, Rep.",YEM,-2.8,2.8,3.4
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Zambia,ZMB,5.55564553208,6.20763449968,6.86511940788
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Zimbabwe,ZWE,1,2.5,3.5
,,,,,,
,,,,,,
,,,,,,
Data from database: Global Economic Prospects,,,,,,
Last Updated: 12/19/2014,,,,,,
